Time, Ax, Ay, Az, Gx, Gy, Gz
2, -0.01538, 0.68262, 0.14111, -40.46631, -63.35449, -13.85498
10, 0.09937, 0.65393, 0.24084, -33.69141, -59.26514, -3.05176
20, 0.04517, 0.57422, 0.11145, -17.63916, -75.98877, 8.42285
29, 0.09363, 0.45471, 0.13086, -7.44629, -88.07373, 19.59229
39, 0.06140, 0.44946, 0.17139, -6.04248, -90.08789, 28.74756
48, 0.03699, 0.45398, 0.19861, -5.49316, -94.66553, 55.48096
56, 0.01379, 0.39490, 0.18823, -1.03760, -103.82080, 55.48096
64, -0.00476, 0.39709, 0.23364, 1.95312, -107.54395, 71.83838
73, 0.02417, 0.39185, 0.31946, 0.18311, -108.33740, 88.86719
82, 0.04114, 0.43481, 0.41443, -2.31934, -108.52051, 106.07910
91, -0.00647, 0.47791, 0.49341, -2.13623, -107.97119, 120.23926
99, -0.10144, 0.48291, 0.62842, 4.51660, -107.97119, 133.30078
108, -0.13696, 0.41113, 0.76733, 23.07129, -108.88672, 151.18408
117, -0.23108, 0.32703, 0.87378, 50.90332, -107.97119, 175.35400
126, -0.26208, 0.37109, 0.97827, 79.16260, -107.05566, 237.06055
135, -0.15991, 0.58801, 1.05518, 96.55762, -81.23779, 257.14111
144, 0.06592, 0.83911, 1.14111, 85.99854, -45.77637, 253.72314
152, 0.15259, 1.02307, 1.28772, 85.99854, -45.77637, 253.72314
161, 0.17224, 1.09338, 1.38672, 92.59033, 18.98193, 203.73535
169, 0.06995, 1.14783, 1.48743, 122.98584, 18.98193, 203.73535
177, -0.02869, 1.22241, 1.50220, 160.21729, 42.72461, 176.20850
185, -0.07410, 1.24194, 1.40930, 193.11523, 71.96045, 155.39551
193, -0.15173, 1.30054, 1.39270, 209.96094, 111.69434, 138.00049
201, -0.26184, 1.34070, 1.37292, 215.51514, 147.82715, 122.55859
209, -0.33411, 1.44006, 1.32068, 222.65625, 176.81885, 107.78809
217, -0.32092, 1.52161, 1.28369, 228.39355, 201.23291, 91.73584
225, -0.32007, 1.65076, 1.24915, 228.75977, 221.37451, 70.31250
233, -0.31897, 1.75989, 1.18823, 222.35107, 238.28125, 44.06738
241, -0.31116, 1.85388, 1.00696, 215.88135, 256.65283, 11.65771
249, -0.21777, 1.89014, 0.93225, 213.19580, 275.08545, -24.04785
257, -0.21777, 1.89014, 0.93225, 212.15820, 286.80420, -68.72559
265, -0.11389, 1.93091, 0.84241, 212.15820, 286.80420, -115.60059
273, -0.16724, 1.89062, 0.66772, 203.79639, 282.34863, -117.98096
281, -0.26770, 1.78625, 0.57935, 186.46240, 268.98193, -162.47559
289, -0.41992, 1.59802, 0.51477, 163.51318, 253.66211, -196.77734
297, -0.41541, 1.37720, 0.47131, 140.38086, 237.36572, -217.40723
305, -0.33276, 1.17883, 0.42322, 116.14990, 215.51514, -223.44971
313, -0.20947, 1.04492, 0.35828, 88.19580, 191.58936, -222.16797
321, -0.09448, 0.98621, 0.31128, 56.82373, 167.29736, -219.54346
329, 0.02905, 0.93323, 0.29333, 28.38135, 144.28711, -217.10205
337, 0.14124, 0.88147, 0.21692, 7.14111, 120.48340, -219.36035
345, 0.15747, 0.84253, 0.11890, -9.64355, 97.22900, -226.62354
353, 0.15747, 0.74878, 0.00037, -26.79443, 72.08252, -237.36572
361, -0.07520, 0.73437, 0.00037, -42.41943, 41.68701, -239.19678
369, -0.22131, 0.48901, -0.07849, -42.66357, 41.68701, -239.19678
377, -0.23389, 0.23938, -0.12463, -59.20410, 12.45117, -222.35107
385, -0.21338, 0.05017, -0.18555, -80.07813, -12.93945, -190.91797
393, -0.24097, -0.07141, -0.22791, -107.17773, -38.87939, -153.93066
402, -0.21558, -0.16785, -0.24133, -136.29150, -65.61279, -111.51123
411, -0.12842, -0.28320, -0.23206, -161.31592, -98.81592, -64.88037
423, -0.15356, -0.39246, -0.06311, -190.73486, -186.15723, 14.40430
432, -0.22461, -0.45154, 0.06750, -195.06836, -235.71777, 52.00195
441, -0.28723, -0.50488, 0.21423, -199.09668, -280.88379, 92.34619
449, -0.38159, -0.42566, 0.35791, -207.76367, -321.10596, 133.30078
458, -0.25244, -0.22693, 0.51306, -234.61914, -347.96143, 170.77637
467, -0.25977, -0.04395, 0.69531, -277.09961, -353.75977, 197.20459
475, -0.32495, 0.11328, 0.92603, -320.00732, -348.57178, 212.21924
484, -0.38000, 0.29102, 1.16125, -354.73633, -331.11572, 226.25732
493, -0.43628, 0.41394, 1.35864, -375.36621, -301.08643, 241.88232
501, -0.50659, 0.58545, 1.57373, -378.54004, -263.61084, 257.69043
510, -0.46948, 0.79602, 1.80176, -360.22949, -220.82520, 273.25439
519, -0.40173, 1.00818, 2.02881, -315.85693, -170.04395, 281.25000
528, -0.38660, 1.10535, 2.17224, -240.17334, -111.99951, 274.10889
537, -0.40222, 1.20435, 2.24219, -144.16504, -52.49023, 258.05664
546, -0.40588, 1.30835, 2.21362, -45.59326, 17.27295, 238.70850
556, -0.50793, 1.38745, 2.04895, 45.41016, 95.82520, 214.59961
564, -0.65796, 1.47986, 1.82629, 121.21582, 172.60742, 189.08691
572, -0.74426, 1.55286, 1.61682, 176.33057, 239.31885, 166.32080
581, -0.79565, 1.57458, 1.48584, 207.45850, 299.25537, 145.26367
590, -0.86865, 1.58374, 1.39941, 220.39795, 357.11670, 122.98584
598, -0.89673, 1.60669, 1.38220, 224.18213, 409.48486, 98.75488
607, -0.82593, 1.65076, 1.32202, 227.66113, 451.04980, 71.83838
616, -0.79480, 1.80408, 1.20850, 236.26709, 469.42139, 37.84180
625, -0.59045, 1.97327, 1.02197, 254.39453, 461.60889, -3.47900
635, -0.39990, 2.05066, 0.71143, 271.97266, 432.98340, -53.03955
643, -0.26123, 2.05945, 0.45020, 263.91602, 401.85547, -107.84912
652, -0.18384, 1.97607, 0.27783, 226.68457, 374.14551, -162.41455
661, -0.17969, 1.83032, 0.17859, 178.95508, 337.15820, -213.13477
670, -0.26501, 1.59778, 0.09863, 137.14600, 283.99658, -253.72314
679, -0.53503, 1.37891, 0.04956, 98.81592, 225.28076, -279.35791
688, -0.38940, 1.06873, 0.08496, 59.44824, 183.95996, -282.89795
696, -0.27649, 0.90405, 0.12915, 13.97705, 149.59717, -271.24023
705, -0.15479, 0.84680, 0.15601, -25.39063, 123.90137, -260.74219
713, -0.05847, 0.82532, 0.18530, -54.50439, 101.68457, -256.95801
722, -0.02393, 0.80151, 0.17114, -71.96045, 81.05469, -260.13184
731, -0.25854, 0.67468, 0.05383, -82.45850, 57.86133, -267.27295
740, -0.31287, 0.38184, 0.10388, -93.01758, 27.95410, -267.88330
749, -0.33179, 0.22290, 0.11975, -101.44043, 4.02832, -251.77002
758, -0.27515, 0.06201, 0.06665, -104.49219, -17.33398, -221.92383
766, -0.21582, -0.07959, -0.00208, -110.71777, -41.62598, -185.18066
774, -0.16248, -0.15552, -0.02625, -125.42725, -66.83350, -149.41406
783, -0.15491, -0.25757, 0.01489, -143.73779, -91.67480, -115.96680
792, -0.17529, -0.36755, 0.01379, -158.26416, -120.78857, -79.71191
800, -0.20190, -0.44897, 0.05627, -174.62158, -154.05273, -39.36768
809, -0.20081, -0.50415, 0.13013, -195.61768, -187.50000, 0.67139
818, -0.34033, -0.51807, 0.15881, -221.92383, -218.32275, 41.50391
827, -0.39331, -0.45923, 0.29675, -254.82178, -246.76514, 87.58545
836, -0.38269, -0.31311, 0.52356, -288.02490, -269.10400, 131.59180
844, -0.37439, -0.19910, 0.73450, -312.43896, -284.30176, 168.57910
853, -0.36951, -0.03284, 0.95959, -326.04980, -294.00635, 196.71631
862, -0.41187, 0.11572, 1.14343, -331.29883, -292.84668, 217.22412
871, -0.43018, 0.23804, 1.34473, -329.46777, -277.70996, 236.02295
879, -0.27588, 0.36792, 1.43677, -317.01660, -252.19727, 252.19727
887, -0.46289, 0.66235, 1.70203, -290.52734, -213.86719, 259.21631
895, -0.37061, 0.68787, 1.79053, -244.68994, -176.20850, 263.36670
904, -0.39148, 0.79810, 1.86853, -188.72070, -130.43213, 264.52637
913, -0.41003, 0.97131, 1.95569, -126.89209, -80.68848, 261.10840
922, -0.41138, 1.09070, 1.94873, -55.35889, -29.60205, 254.39453
930, -0.44971, 1.20349, 1.85327, 18.12744, 19.22607, 242.18750
938, -0.50488, 1.29614, 1.73328, 81.90918, 66.34521, 226.37939
947, -0.55786, 1.38123, 1.59216, 129.33350, 114.56299, 209.89990
955, -0.59326, 1.45166, 1.46069, 162.71973, 160.27832, 191.77246
964, -0.60510, 1.50696, 1.41040, 182.06787, 199.34082, 171.44775
972, -0.63257, 1.55615, 1.41968, 188.72070, 243.34717, 148.74268
981, -0.66736, 1.62427, 1.49390, 190.06348, 294.61670, 123.96240
990, -0.69556, 1.68176, 1.52307, 196.77734, 344.90967, 95.64209
998, -0.67444, 1.74963, 1.46484, 212.46338, 385.86426, 63.78174
1006, -0.60742, 1.85120, 1.29187, 233.70361, 407.71484, 28.25928
1015, -0.36206, 1.90942, 1.03564, 254.57764, 405.94482, -11.04736
1024, -0.26135, 1.94641, 0.72742, 264.03809, 383.42285, -55.84717
1032, -0.17676, 1.90906, 0.46313, 248.22998, 357.84912, -105.52979
1040, -0.17017, 1.75671, 0.30383, 209.65576, 328.36914, -152.34375
1048, -0.17017, 1.75671, 0.21008, 164.48975, 289.24561, -192.32178
1056, -0.18689, 1.54590, 0.20374, 164.48975, 241.88232, -223.02246
1064, -0.21948, 1.31750, 0.17102, 122.92480, 241.88232, -223.02246
1073, -0.25818, 1.06567, 0.14819, 84.77783, 193.78662, -241.39404
1081, -0.30444, 0.84863, 0.15125, 44.86084, 153.56445, -246.15479
1090, -0.33948, 0.71265, 0.21484, 6.71387, 124.14551, -243.10303
1099, -0.25317, 0.60107, 0.20215, -20.26367, 104.00391, -231.68945
1108, -0.22742, 0.51733, 0.14514, -41.50391, 85.51025, -211.24268
1116, -0.17297, 0.43835, 0.06567, -59.63135, 67.32178, -211.24268
1124, -0.15063, 0.36914, -0.06055, -75.74463, 48.58398, -200.13428
1134, -0.14404, 0.27881, -0.18420, -93.13965, 23.86475, -173.33984
1143, -0.12439, 0.16345, -0.25952, -127.19727, -43.45703, -156.00586
1152, -0.19885, 0.02563, -0.33057, -153.74756, -82.82471, -134.15527
1160, -0.25195, -0.14185, -0.30249, -153.74756, -82.82471, -102.60010
1169, -0.31128, -0.29150, -0.25085, -181.09131, -152.52686, -61.88965
1178, -0.38892, -0.39978, -0.16467, -231.38428, -189.88037, -14.70947
1187, -0.44556, -0.47424, 0.09583, -247.49756, -226.74561, 36.01074
1196, -0.59033, -0.47266, 0.28125, -257.50732, -260.55908, 87.34131
1205, -0.63452, -0.39221, 0.44104, -261.47461, -293.94531, 136.16943
1214, -0.61475, -0.22229, 0.59680, -267.39502, -325.19531, 180.17578
1223, -0.55005, -0.02344, 0.79260, -280.70068, -344.05518, 214.17236
1232, -0.53027, 0.20215, 0.99109, -298.33984, -346.61865, 236.32812
1241, -0.47046, 0.40125, 1.21045, -318.35937, -330.07812, 249.14551
1249, -0.44873, 0.59619, 1.45911, -332.03125, -297.91260, 254.94385
1258, -0.43762, 0.74353, 1.67334, -329.77295, -252.56348, 255.43213
1267, -0.48059, 0.85950, 1.88647, -301.69678, -201.41602, 252.68555
1276, -0.50366, 0.98682, 2.12378, -244.38477, -151.97754, 247.13135
1285, -0.53784, 1.05518, 2.24414, -159.11865, -101.56250, 237.85400
1294, -0.63757, 1.08923, 2.26123, -57.55615, -45.53223, 224.79248
1303, -0.70959, 1.16602, 2.15112, 41.25977, 15.38086, 212.95166
1311, -0.75598, 1.27295, 1.97302, 124.93896, 83.19092, 203.97949
1319, -0.78943, 1.38623, 1.78174, 187.43896, 150.14648, 193.78662
