Time, Ax, Ay, Az, Gx, Gy, Gz
2, -0.10876, -0.17432, 1.37268, -11.10840, 41.50391, -1.40381
10, -0.05200, -0.20618, 1.36279, -12.87842, 63.11035, -5.12695
18, -0.06323, -0.18994, 1.43298, -15.31982, 79.10156, -9.27734
26, -0.09155, -0.16846, 1.47192, -14.03809, 102.96631, -14.22119
34, -0.14514, -0.18591, 1.40076, -8.48389, 126.95313, -17.45605
43, -0.15735, -0.18555, 1.36426, -6.22559, 145.99609, -16.96777
53, -0.17358, -0.16907, 1.37000, -7.26318, 160.27832, -14.16016
62, -0.11768, -0.18359, 1.34338, -8.17871, 177.73437, -8.97217
70, -0.06799, -0.15186, 1.34229, -12.02393, 196.16699, -4.51660
78, 0.00403, -0.09705, 1.37109, -18.00537, 216.61377, -7.14111
86, 0.02698, -0.07813, 1.35693, -21.42334, 243.28613, -14.16016
95, 0.02832, -0.10962, 1.29163, -26.79443, 271.48437, -21.91162
103, 0.02832, -0.10962, 1.24902, -35.82764, 298.76709, -26.67236
111, -0.00049, -0.14600, 1.24902, -35.82764, 324.70703, -24.41406
120, 0.00244, -0.17493, 1.25867, -49.01123, 346.49658, -17.33398
128, 0.02246, -0.16577, 1.26440, -49.01123, 346.49658, -1.70898
136, 0.13098, -0.15674, 1.25659, -42.78564, 364.80713, -7.50732
144, 0.17957, -0.12744, 1.17993, -27.95410, 373.22998, -0.24414
152, 0.18005, -0.06494, 1.08899, -10.86426, 372.13135, 0.85449
160, 0.20227, 0.00977, 1.03516, 7.81250, 373.04687, 2.07520
168, 0.26355, 0.00134, 0.90881, 26.85547, 371.45996, 3.17383
176, 0.30957, -0.05835, 0.72192, 42.72461, 366.27197, 2.92969
184, 0.32874, -0.07642, 0.52991, 53.64990, 355.46875, 4.15039
192, 0.33252, -0.07935, 0.36414, 58.10547, 335.14404, 11.29150
200, 0.40906, -0.09924, 0.21863, 60.05859, 310.85205, 25.57373
209, 0.49207, -0.11646, 0.00146, 57.92236, 282.83691, 39.00146
217, 0.57275, -0.14160, -0.18274, 45.41016, 254.15039, 49.56055
225, 0.65491, -0.13098, -0.26758, 22.82715, 227.96631, 56.82373
234, 0.67041, -0.06323, -0.28088, -0.48828, 203.00293, 59.20410
243, 0.71960, 0.00146, -0.24377, -20.75195, 183.16650, 56.27441
251, 0.76453, 0.03491, -0.24329, -33.75244, 167.66357, 49.56055
260, 0.79846, 0.06897, -0.26794, -37.41455, 149.04785, 39.67285
269, 0.80627, 0.07141, -0.31470, -32.40967, 123.22998, 28.32031
278, 0.79248, 0.06653, -0.36096, -22.94922, 92.71240, 16.54053
287, 0.78601, 0.06787, -0.38647, -12.93945, 63.47656, 6.34766
295, 0.78125, 0.05444, -0.44434, -2.80762, 35.46143, -2.92969
304, 0.78088, 0.02405, -0.54724, 6.10352, 7.26318, -11.23047
313, 0.75867, -0.00879, -0.63831, 10.19287, -22.09473, -17.94434
322, 0.73230, -0.03589, -0.66797, 8.23975, -52.97852, -21.85059
331, 0.69226, -0.05151, -0.70276, 3.60107, -85.63232, -22.39990
340, 0.68701, -0.06555, -0.69031, -3.72314, -118.59131, -19.22607
349, 0.65601, -0.07910, -0.65051, -14.28223, -149.59717, -16.35742
358, 0.60168, -0.04358, -0.58838, -26.18408, -177.49023, -13.79395
367, 0.61865, -0.01538, -0.50293, -36.92627, -202.69775, -8.23975
376, 0.64795, 0.05615, -0.40710, -45.10498, -226.44043, -6.34766
385, 0.62573, 0.13904, -0.29834, -48.09570, -247.43652, -9.52148
394, 0.62854, 0.18555, -0.18066, -45.16602, -266.72363, -14.77051
403, 0.64233, 0.18042, -0.10364, -35.64453, -284.24072, -20.56885
413, 0.61499, 0.15894, -0.06970, -22.15576, -301.14746, -27.70996
423, 0.51050, 0.14453, 0.00806, -10.86426, -317.99316, -33.93555
433, 0.49255, 0.09949, 0.11548, 10.92529, -338.25684, -32.40967
442, 0.48975, -0.01904, 0.22949, 19.28711, -342.83447, -27.52686
452, 0.30273, -0.02454, 0.27832, 25.45166, -347.90039, -22.94922
461, 0.30383, -0.05530, 0.41602, 29.78516, -350.15869, -15.44189
