Time,Ax,Ay,Az,Gx,Gy,Gz
2,0.24683,0.70361,0.81531,-56.7627,-42.90771,27.83203
11,0.40894,0.81958,0.95886,-57.31201,-31.92139,33.38623
20,0.51489,0.84729,1.06714,-63.11035,-25.81787,39.42871
29,0.61963,0.91553,1.1936,-68.66455,-13.24463,45.04395
38,0.79443,0.95398,1.29199,-68.2373,-3.90625,48.46191
47,0.93213,0.96619,1.31311,-61.76758,-4.08936,46.875
55,1.08582,0.9071,1.31152,-51.57471,-10.62012,40.22217
68,1.14124,0.87598,1.2738,-42.23633,-26.67236,28.13721
77,1.16138,0.80981,1.26306,-30.94482,-41.56494,12.93945
86,1.14368,0.69983,1.21106,-18.06641,-55.9082,-2.50244
95,1.10645,0.58533,1.15259,-7.01904,-67.81006,-14.95361
103,1.05347,0.46045,1.09265,0.91553,-72.63184,-23.55957
111,1.00732,0.34717,1.03577,4.27246,-70.61768,-28.86963
119,0.93872,0.26587,1.0061,2.74658,-63.5376,-31.00586
128,0.90674,0.1875,1.00427,0.85449,-50.72021,-27.89307
137,0.8999,0.13123,0.99805,2.31934,-36.86523,-21.85059
145,0.87866,0.0979,0.95642,8.60596,-23.74268,-15.25879
153,0.84473,0.08289,0.896,17.51709,-12.39014,-9.52148
161,0.80823,0.05432,0.81677,26.79443,-3.60107,-4.3335
169,0.77771,0.01392,0.71619,34.91211,3.35693,0.36621
177,0.74438,-0.01147,0.63831,40.83252,9.21631,3.78418
185,0.69019,-0.02832,0.57983,45.8374,13.73291,5.18799
194,0.64807,-0.02759,0.5343,50.96436,16.72363,4.69971
202,0.64807,-0.05005,0.47327,57.43408,20.1416,3.35693
211,0.58374,-0.06055,0.41406,62.5,23.01025,0.36621
220,0.55359,-0.04797,0.39978,65.00244,26.61133,-2.0752
229,0.53052,-0.02417,0.39917,67.13867,31.00586,-2.86865
237,0.52991,0.01123,0.41785,70.12939,38.45215,-2.86865
245,0.52991,0.01123,0.41785,74.646,49.01123,-2.38037
254,0.53357,0.10339,0.4458,80.3833,61.4624,-2.19727
263,0.52246,0.18372,0.4248,83.98438,75.07324,-2.74658
